kode_produk;tgl_berlaku;kode_cabang;kode_cabang_1;harga_berlaku_cabang;modal_cabang;biaya_cabang
PROD-0000012;2008-04-30;CABANG-039;039;3550;3380;60
PROD-0000013;2008-04-30;CABANG-039;039;12330;11620;0
PROD-0000014;2008-04-30;CABANG-039;039;11640;11100;160
PROD-0000015;2008-04-30;CABANG-039;039;19290;18140;400
PROD-0000016;2008-04-30;CABANG-039;039;98720;93780;2020
PROD-0000017;2008-04-30;CABANG-039;039;1220;1170;30
PROD-0000018;2008-04-30;CABANG-039;039;8970;8520;170
PROD-0000019;2008-04-30;CABANG-039;039;6180;5810;20
PROD-0000020;2008-04-30;CABANG-039;039;5330;5050;90
PROD-0000021;2008-04-30;CABANG-039;039;12270;11720;300
PROD-0000022;2008-04-30;CABANG-039;039;72410;68790;1450
PROD-0000023;2008-04-30;CABANG-039;039;14530;13880;80
PROD-0000024;2008-04-30;CABANG-039;039;15010;14170;280
PROD-0000025;2008-04-30;CABANG-039;039;10130;9710;210
PROD-0000026;2008-04-30;CABANG-039;039;890;840;10
PROD-0000027;2008-04-30;CABANG-039;039;12230;11650;240
PROD-0000028;2008-04-30;CABANG-039;039;56230;53050;450
PROD-0000029;2008-04-30;CABANG-039;039;6140;5830;140
PROD-0000030;2008-04-30;CABANG-039;039;4060;3880;50
PROD-0000031;2008-04-30;CABANG-039;039;18410;17490;180
PROD-0000032;2008-04-30;CABANG-039;039;5090;4810;120
PROD-0000033;2008-04-30;CABANG-039;039;15710;14980;300
PROD-0000034;2008-04-30;CABANG-039;039;20140;19000;100
PROD-0000035;2008-04-30;CABANG-039;039;6050;5740;70
PROD-0000036;2008-04-30;CABANG-039;039;30620;28950;550
PROD-0000037;2008-04-30;CABANG-039;039;5090;4830;20
PROD-0000038;2008-04-30;CABANG-039;039;6180;5860;110
PROD-0000039;2008-04-30;CABANG-039;039;5490;5190;80
PROD-0000040;2008-04-30;CABANG-039;039;15080;14330;340
PROD-0000041;2008-04-30;CABANG-039;039;13290;12550;220
PROD-0000001;2008-05-01;CABANG-039;039;11330;10810;150
PROD-0000002;2008-05-01;CABANG-039;039;4280;4030;40
PROD-0000003;2008-05-01;CABANG-039;039;6260;5950;110
PROD-0000004;2008-05-01;CABANG-039;039;8120;7720;20
PROD-0000005;2008-05-01;CABANG-039;039;7210;6790;20
PROD-0000006;2008-05-01;CABANG-039;039;8330;7920;40
PROD-0000007;2008-05-01;CABANG-039;039;4600;4370;40
PROD-0000008;2008-05-01;CABANG-039;039;1090;1040;20
PROD-0000009;2008-05-01;CABANG-039;039;4780;4540;20
PROD-0000010;2008-05-01;CABANG-039;039;1120;1060;30
PROD-0000011;2008-05-01;CABANG-039;039;1200;1130;20
PROD-0000012;2008-05-01;CABANG-039;039;3540;3370;40
PROD-0000013;2008-05-01;CABANG-039;039;12600;11970;60
PROD-0000014;2008-05-01;CABANG-039;039;11730;11080;290
PROD-0000015;2008-05-01;CABANG-039;039;19610;18520;90
PROD-0000016;2008-05-01;CABANG-039;039;100980;96370;1310
PROD-0000017;2008-05-01;CABANG-039;039;1230;1170;10
PROD-0000018;2008-05-01;CABANG-039;039;9010;8560;70
PROD-0000019;2008-05-01;CABANG-039;039;6060;5750;10
PROD-0000020;2008-05-01;CABANG-039;039;5360;5090;10
PROD-0000021;2008-05-01;CABANG-039;039;12260;11640;50
PROD-0000022;2008-05-01;CABANG-039;039;74010;70310;1810
PROD-0000023;2008-05-01;CABANG-039;039;14570;13850;30
PROD-0000024;2008-05-01;CABANG-039;039;15120;14360;170
PROD-0000025;2008-05-01;CABANG-039;039;10100;9660;120
PROD-0000026;2008-05-01;CABANG-039;039;900;860;10
PROD-0000027;2008-05-01;CABANG-039;039;12290;11670;210
PROD-0000028;2008-05-01;CABANG-039;039;56250;53140;80
PROD-0000029;2008-05-01;CABANG-039;039;6240;5900;50
PROD-0000030;2008-05-01;CABANG-039;039;4140;3920;10
PROD-0000031;2008-05-01;CABANG-039;039;18450;17460;190
PROD-0000032;2008-05-01;CABANG-039;039;5030;4780;30
PROD-0000033;2008-05-01;CABANG-039;039;15610;14790;210
PROD-0000034;2008-05-01;CABANG-039;039;20080;19190;100
PROD-0000035;2008-05-01;CABANG-039;039;6140;5830;140
PROD-0000036;2008-05-01;CABANG-039;039;30450;28930;650
PROD-0000037;2008-05-01;CABANG-039;039;5050;4800;40
PROD-0000038;2008-05-01;CABANG-039;039;6190;5840;20
PROD-0000039;2008-05-01;CABANG-039;039;5530;5290;10
PROD-0000040;2008-05-01;CABANG-039;039;15220;14460;130
PROD-0000041;2008-05-01;CABANG-039;039;13460;12780;150
PROD-0000001;2008-05-02;CABANG-039;039;11410;10780;40
PROD-0000002;2008-05-02;CABANG-039;039;4230;4000;30
PROD-0000003;2008-05-02;CABANG-039;039;6290;5920;80
PROD-0000004;2008-05-02;CABANG-039;039;8160;7800;140
PROD-0000005;2008-05-02;CABANG-039;039;7170;6810;80
PROD-0000006;2008-05-02;CABANG-039;039;8210;7860;60
PROD-0000007;2008-05-02;CABANG-039;039;4700;4420;90
PROD-0000008;2008-05-02;CABANG-039;039;1090;1040;20
PROD-0000009;2008-05-02;CABANG-039;039;4760;4520;30
PROD-0000010;2008-05-02;CABANG-039;039;1100;1050;20
PROD-0000011;2008-05-02;CABANG-039;039;1220;1160;10
PROD-0000012;2008-05-02;CABANG-039;039;3580;3400;60
PROD-0000013;2008-05-02;CABANG-039;039;12700;12060;110
PROD-0000014;2008-05-02;CABANG-039;039;11870;11180;270
PROD-0000015;2008-05-02;CABANG-039;039;19180;18220;230
PROD-0000016;2008-05-02;CABANG-039;039;98790;93080;50
PROD-0000017;2008-05-02;CABANG-039;039;1230;1160;10
PROD-0000018;2008-05-02;CABANG-039;039;9110;8660;10
PROD-0000019;2008-05-02;CABANG-039;039;6070;5760;120
PROD-0000020;2008-05-02;CABANG-039;039;5400;5190;60
PROD-0000021;2008-05-02;CABANG-039;039;12210;11600;150
PROD-0000022;2008-05-02;CABANG-039;039;72980;69000;1310
PROD-0000023;2008-05-02;CABANG-039;039;14570;13840;260
PROD-0000024;2008-05-02;CABANG-039;039;15180;14420;0
PROD-0000025;2008-05-02;CABANG-039;039;10220;9710;70
PROD-0000026;2008-05-02;CABANG-039;039;910;870;0
PROD-0000027;2008-05-02;CABANG-039;039;12170;11500;260
PROD-0000028;2008-05-02;CABANG-039;039;55800;53010;750
PROD-0000029;2008-05-02;CABANG-039;039;6260;5950;10
PROD-0000030;2008-05-02;CABANG-039;039;4040;3830;50
PROD-0000031;2008-05-02;CABANG-039;039;18000;17220;410
PROD-0000032;2008-05-02;CABANG-039;039;5080;4780;70
PROD-0000033;2008-05-02;CABANG-039;039;15800;15010;360
PROD-0000034;2008-05-02;CABANG-039;039;20160;19060;10
PROD-0000035;2008-05-02;CABANG-039;039;6100;5800;130
PROD-0000036;2008-05-02;CABANG-039;039;31130;29760;610
PROD-0000037;2008-05-02;CABANG-039;039;5090;4790;110
PROD-0000038;2008-05-02;CABANG-039;039;6170;5830;10
PROD-0000039;2008-05-02;CABANG-039;039;5470;5240;40
PROD-0000040;2008-05-02;CABANG-039;039;14980;14230;110
PROD-0000041;2008-05-02;CABANG-039;039;13350;12680;320
PROD-0000001;2008-05-03;CABANG-039;039;11420;10850;150
PROD-0000002;2008-05-03;CABANG-039;039;4250;4010;50
PROD-0000003;2008-05-03;CABANG-039;039;6320;6020;20
PROD-0000004;2008-05-03;CABANG-039;039;8140;7770;100
PROD-0000005;2008-05-03;CABANG-039;039;7120;6840;80
PROD-0000006;2008-05-03;CABANG-039;039;8320;7860;70
PROD-0000007;2008-05-03;CABANG-039;039;4590;4360;20
PROD-0000008;2008-05-03;CABANG-039;039;1090;1030;20
PROD-0000009;2008-05-03;CABANG-039;039;4880;4680;40
PROD-0000010;2008-05-03;CABANG-039;039;1100;1060;20
PROD-0000011;2008-05-03;CABANG-039;039;1210;1150;20
PROD-0000012;2008-05-03;CABANG-039;039;3560;3360;10
PROD-0000013;2008-05-03;CABANG-039;039;12650;12020;60
PROD-0000014;2008-05-03;CABANG-039;039;11690;11060;160
PROD-0000015;2008-05-03;CABANG-039;039;19530;18560;370
PROD-0000016;2008-05-03;CABANG-039;039;99790;93940;650
PROD-0000017;2008-05-03;CABANG-039;039;1260;1190;10
PROD-0000018;2008-05-03;CABANG-039;039;8930;8490;100
PROD-0000019;2008-05-03;CABANG-039;039;6210;5890;60
PROD-0000020;2008-05-03;CABANG-039;039;5370;5090;30
PROD-0000021;2008-05-03;CABANG-039;039;12210;11580;170
PROD-0000022;2008-05-03;CABANG-039;039;72980;69330;1170
PROD-0000023;2008-05-03;CABANG-039;039;14460;13740;230
PROD-0000024;2008-05-03;CABANG-039;039;14940;14340;150
PROD-0000025;2008-05-03;CABANG-039;039;10220;9760;100
PROD-0000026;2008-05-03;CABANG-039;039;900;850;0
PROD-0000027;2008-05-03;CABANG-039;039;12240;11630;10
PROD-0000028;2008-05-03;CABANG-039;039;56240;52950;700
PROD-0000029;2008-05-03;CABANG-039;039;6250;5990;120
PROD-0000030;2008-05-03;CABANG-039;039;4100;3900;90
PROD-0000031;2008-05-03;CABANG-039;039;18330;17410;270
PROD-0000032;2008-05-03;CABANG-039;039;5150;4890;30
PROD-0000033;2008-05-03;CABANG-039;039;15700;14920;310
PROD-0000034;2008-05-03;CABANG-039;039;20360;19470;430
PROD-0000035;2008-05-03;CABANG-039;039;6060;5750;30
PROD-0000036;2008-05-03;CABANG-039;039;31200;29740;370
PROD-0000037;2008-05-03;CABANG-039;039;5130;4860;50
PROD-0000038;2008-05-03;CABANG-039;039;6110;5800;140
PROD-0000039;2008-05-03;CABANG-039;039;5500;5190;70
PROD-0000040;2008-05-03;CABANG-039;039;14830;13970;80
PROD-0000041;2008-05-03;CABANG-039;039;13620;12940;50
PROD-0000001;2008-05-04;CABANG-039;039;11470;10940;150
PROD-0000002;2008-05-04;CABANG-039;039;4240;4000;90
PROD-0000003;2008-05-04;CABANG-039;039;6350;6060;100
PROD-0000004;2008-05-04;CABANG-039;039;8250;7910;90
PROD-0000005;2008-05-04;CABANG-039;039;7170;6870;50
PROD-0000006;2008-05-04;CABANG-039;039;8260;7770;70
PROD-0000007;2008-05-04;CABANG-039;039;4690;4500;20
PROD-0000008;2008-05-04;CABANG-039;039;1090;1030;10
PROD-0000009;2008-05-04;CABANG-039;039;4820;4600;20
PROD-0000010;2008-05-04;CABANG-039;039;1120;1060;10
PROD-0000011;2008-05-04;CABANG-039;039;1220;1160;10
PROD-0000012;2008-05-04;CABANG-039;039;3570;3390;20
PROD-0000013;2008-05-04;CABANG-039;039;12520;11880;40
PROD-0000014;2008-05-04;CABANG-039;039;11800;11320;170
PROD-0000015;2008-05-04;CABANG-039;039;19370;18350;310
PROD-0000016;2008-05-04;CABANG-039;039;100580;94890;1710
PROD-0000017;2008-05-04;CABANG-039;039;1230;1170;30
PROD-0000018;2008-05-04;CABANG-039;039;9090;8640;100
PROD-0000019;2008-05-04;CABANG-039;039;6130;5810;0
PROD-0000020;2008-05-04;CABANG-039;039;5410;5120;50
PROD-0000021;2008-05-04;CABANG-039;039;12190;11580;220
PROD-0000022;2008-05-04;CABANG-039;039;72990;69460;620
PROD-0000023;2008-05-04;CABANG-039;039;14570;13810;310
PROD-0000024;2008-05-04;CABANG-039;039;15180;14420;220
PROD-0000025;2008-05-04;CABANG-039;039;10200;9700;140
PROD-0000026;2008-05-04;CABANG-039;039;900;860;20
PROD-0000027;2008-05-04;CABANG-039;039;12240;11700;140
PROD-0000028;2008-05-04;CABANG-039;039;55800;53460;610
PROD-0000029;2008-05-04;CABANG-039;039;6220;5940;80
PROD-0000030;2008-05-04;CABANG-039;039;4070;3860;30
PROD-0000031;2008-05-04;CABANG-039;039;18370;17450;240
PROD-0000032;2008-05-04;CABANG-039;039;5110;4820;70
PROD-0000033;2008-05-04;CABANG-039;039;15990;15190;100
PROD-0000034;2008-05-04;CABANG-039;039;20160;19150;20
PROD-0000035;2008-05-04;CABANG-039;039;6030;5690;10
PROD-0000036;2008-05-04;CABANG-039;039;31070;29510;30
PROD-0000037;2008-05-04;CABANG-039;039;5150;4910;70
PROD-0000038;2008-05-04;CABANG-039;039;6050;5790;90
PROD-0000039;2008-05-04;CABANG-039;039;5460;5200;100
PROD-0000040;2008-05-04;CABANG-039;039;15010;14260;40
PROD-0000041;2008-05-04;CABANG-039;039;13410;12640;290
PROD-0000001;2008-05-05;CABANG-039;039;11420;10810;130
PROD-0000002;2008-05-05;CABANG-039;039;4270;4080;60
PROD-0000003;2008-05-05;CABANG-039;039;6270;5950;100
PROD-0000004;2008-05-05;CABANG-039;039;8090;7610;60
PROD-0000005;2008-05-05;CABANG-039;039;7120;6770;100
PROD-0000006;2008-05-05;CABANG-039;039;8180;7700;70
PROD-0000007;2008-05-05;CABANG-039;039;4610;4380;100
PROD-0000008;2008-05-05;CABANG-039;039;1090;1040;20
PROD-0000009;2008-05-05;CABANG-039;039;4770;4530;120
PROD-0000010;2008-05-05;CABANG-039;039;1120;1060;0
PROD-0000011;2008-05-05;CABANG-039;039;1220;1160;10
PROD-0000012;2008-05-05;CABANG-039;039;3560;3370;60
PROD-0000013;2008-05-05;CABANG-039;039;12470;11810;170
PROD-0000014;2008-05-05;CABANG-039;039;11830;11230;240
PROD-0000015;2008-05-05;CABANG-039;039;19380;18410;330
PROD-0000016;2008-05-05;CABANG-039;039;99790;95490;800
PROD-0000017;2008-05-05;CABANG-039;039;1260;1190;0
PROD-0000018;2008-05-05;CABANG-039;039;8970;8450;20
PROD-0000019;2008-05-05;CABANG-039;039;6130;5860;150
PROD-0000020;2008-05-05;CABANG-039;039;5410;5140;130
PROD-0000021;2008-05-05;CABANG-039;039;12140;11520;80
PROD-0000022;2008-05-05;CABANG-039;039;74020;69880;220
PROD-0000023;2008-05-05;CABANG-039;039;14540;13960;350
PROD-0000024;2008-05-05;CABANG-039;039;14910;14160;50
PROD-0000025;2008-05-05;CABANG-039;039;10200;9710;140
PROD-0000026;2008-05-05;CABANG-039;039;900;860;20
PROD-0000027;2008-05-05;CABANG-039;039;12070;11470;110
PROD-0000028;2008-05-05;CABANG-039;039;55680;52900;0
PROD-0000029;2008-05-05;CABANG-039;039;6250;5940;120
PROD-0000030;2008-05-05;CABANG-039;039;4080;3900;70
PROD-0000031;2008-05-05;CABANG-039;039;18480;17560;350
PROD-0000032;2008-05-05;CABANG-039;039;5110;4850;100
PROD-0000033;2008-05-05;CABANG-039;039;15650;14860;200
PROD-0000034;2008-05-05;CABANG-039;039;20400;19420;370
PROD-0000035;2008-05-05;CABANG-039;039;6150;5850;20
PROD-0000036;2008-05-05;CABANG-039;039;30760;29230;550
PROD-0000037;2008-05-05;CABANG-039;039;5060;4810;100
PROD-0000038;2008-05-05;CABANG-039;039;6180;5870;20
PROD-0000039;2008-05-05;CABANG-039;039;5480;5200;60
PROD-0000040;2008-05-05;CABANG-039;039;15130;14350;80
PROD-0000041;2008-05-05;CABANG-039;039;13460;12860;100
PROD-0000001;2008-05-06;CABANG-039;039;11260;10730;190
PROD-0000002;2008-05-06;CABANG-039;039;4330;4120;20
PROD-0000003;2008-05-06;CABANG-039;039;6220;5880;70
PROD-0000004;2008-05-06;CABANG-039;039;8290;7920;150
PROD-0000005;2008-05-06;CABANG-039;039;7150;6780;30
PROD-0000006;2008-05-06;CABANG-039;039;8110;7710;20
PROD-0000007;2008-05-06;CABANG-039;039;4670;4440;40
PROD-0000008;2008-05-06;CABANG-039;039;1090;1030;0
PROD-0000009;2008-05-06;CABANG-039;039;4850;4610;50
PROD-0000010;2008-05-06;CABANG-039;039;1110;1050;0
PROD-0000011;2008-05-06;CABANG-039;039;1230;1160;20
PROD-0000012;2008-05-06;CABANG-039;039;3570;3370;20
PROD-0000013;2008-05-06;CABANG-039;039;12490;11860;310
PROD-0000014;2008-05-06;CABANG-039;039;11770;11220;250
PROD-0000015;2008-05-06;CABANG-039;039;19410;18570;220
PROD-0000016;2008-05-06;CABANG-039;039;99380;94410;2390
PROD-0000017;2008-05-06;CABANG-039;039;1250;1190;20
PROD-0000018;2008-05-06;CABANG-039;039;8950;8500;70
PROD-0000019;2008-05-06;CABANG-039;039;6100;5850;140
PROD-0000020;2008-05-06;CABANG-039;039;5390;5120;60
PROD-0000021;2008-05-06;CABANG-039;039;12310;11600;60
PROD-0000022;2008-05-06;CABANG-039;039;73280;69610;1760
PROD-0000023;2008-05-06;CABANG-039;039;14490;13650;90
PROD-0000024;2008-05-06;CABANG-039;039;15030;14320;330
PROD-0000025;2008-05-06;CABANG-039;039;10240;9730;60
PROD-0000026;2008-05-06;CABANG-039;039;890;850;10
PROD-0000027;2008-05-06;CABANG-039;039;12340;11730;40
PROD-0000028;2008-05-06;CABANG-039;039;55570;52730;280
PROD-0000029;2008-05-06;CABANG-039;039;6240;5920;10
PROD-0000030;2008-05-06;CABANG-039;039;4080;3880;40
PROD-0000031;2008-05-06;CABANG-039;039;18510;17410;300
PROD-0000032;2008-05-06;CABANG-039;039;5150;4890;90
PROD-0000033;2008-05-06;CABANG-039;039;15580;14860;90
PROD-0000034;2008-05-06;CABANG-039;039;20400;19380;280
PROD-0000035;2008-05-06;CABANG-039;039;6090;5790;90
PROD-0000036;2008-05-06;CABANG-039;039;30760;29220;570
PROD-0000037;2008-05-06;CABANG-039;039;5120;4890;70
PROD-0000038;2008-05-06;CABANG-039;039;6040;5780;100
PROD-0000039;2008-05-06;CABANG-039;039;5550;5280;90
PROD-0000040;2008-05-06;CABANG-039;039;14890;14150;160
PROD-0000041;2008-05-06;CABANG-039;039;13670;12990;10
PROD-0000001;2008-05-07;CABANG-039;039;11260;10700;170
PROD-0000002;2008-05-07;CABANG-039;039;4270;4030;90
PROD-0000003;2008-05-07;CABANG-039;039;6400;6080;30
PROD-0000004;2008-05-07;CABANG-039;039;8340;8010;10
PROD-0000005;2008-05-07;CABANG-039;039;7240;6880;120
PROD-0000006;2008-05-07;CABANG-039;039;8350;7880;90
PROD-0000007;2008-05-07;CABANG-039;039;4620;4390;30
PROD-0000008;2008-05-07;CABANG-039;039;1080;1030;10
PROD-0000009;2008-05-07;CABANG-039;039;4910;4660;70
PROD-0000010;2008-05-07;CABANG-039;039;1110;1050;10
PROD-0000011;2008-05-07;CABANG-039;039;1220;1160;0
PROD-0000012;2008-05-07;CABANG-039;039;3610;3440;50
PROD-0000013;2008-05-07;CABANG-039;039;12750;12110;280
PROD-0000014;2008-05-07;CABANG-039;039;11590;11010;160
PROD-0000015;2008-05-07;CABANG-039;039;19730;18590;440
PROD-0000016;2008-05-07;CABANG-039;039;98980;94040;1390
PROD-0000017;2008-05-07;CABANG-039;039;1250;1190;20
PROD-0000018;2008-05-07;CABANG-039;039;8860;8420;90
PROD-0000019;2008-05-07;CABANG-039;039;6090;5790;0
PROD-0000020;2008-05-07;CABANG-039;039;5460;5190;40
PROD-0000021;2008-05-07;CABANG-039;039;12130;11600;40
PROD-0000022;2008-05-07;CABANG-039;039;73580;70080;110
PROD-0000023;2008-05-07;CABANG-039;039;14340;13630;170
PROD-0000024;2008-05-07;CABANG-039;039;15090;14340;300
PROD-0000025;2008-05-07;CABANG-039;039;10320;9810;230
PROD-0000026;2008-05-07;CABANG-039;039;910;860;10
PROD-0000027;2008-05-07;CABANG-039;039;12240;11630;90
PROD-0000028;2008-05-07;CABANG-039;039;56360;53970;390
PROD-0000029;2008-05-07;CABANG-039;039;6230;5970;140
PROD-0000030;2008-05-07;CABANG-039;039;4040;3830;20
PROD-0000031;2008-05-07;CABANG-039;039;18080;17170;350
PROD-0000032;2008-05-07;CABANG-039;039;5090;4870;10
PROD-0000033;2008-05-07;CABANG-039;039;15770;14980;180
PROD-0000034;2008-05-07;CABANG-039;039;20280;19270;250
PROD-0000035;2008-05-07;CABANG-039;039;6140;5850;10
PROD-0000036;2008-05-07;CABANG-039;039;30950;29440;510
PROD-0000037;2008-05-07;CABANG-039;039;5180;4970;110
PROD-0000038;2008-05-07;CABANG-039;039;6120;5800;50
PROD-0000039;2008-05-07;CABANG-039;039;5490;5210;80
PROD-0000040;2008-05-07;CABANG-039;039;15010;14270;350
PROD-0000041;2008-05-07;CABANG-039;039;13700;12930;220
PROD-0000001;2008-05-08;CABANG-039;039;11400;10780;210
PROD-0000002;2008-05-08;CABANG-039;039;4320;4110;30
PROD-0000003;2008-05-08;CABANG-039;039;6340;6020;80
PROD-0000004;2008-05-08;CABANG-039;039;8220;7790;50
PROD-0000005;2008-05-08;CABANG-039;039;7150;6790;140
PROD-0000006;2008-05-08;CABANG-039;039;8390;7970;200
PROD-0000007;2008-05-08;CABANG-039;039;4670;4450;30
PROD-0000008;2008-05-08;CABANG-039;039;1090;1040;10
PROD-0000009;2008-05-08;CABANG-039;039;4890;4650;90
PROD-0000010;2008-05-08;CABANG-039;039;1100;1050;10
PROD-0000011;2008-05-08;CABANG-039;039;1210;1130;10
PROD-0000012;2008-05-08;CABANG-039;039;3540;3330;50
PROD-0000013;2008-05-08;CABANG-039;039;12490;11870;290
PROD-0000014;2008-05-08;CABANG-039;039;11760;11170;0
PROD-0000015;2008-05-08;CABANG-039;039;19180;18370;350
PROD-0000016;2008-05-08;CABANG-039;039;100180;95170;50
PROD-0000017;2008-05-08;CABANG-039;039;1240;1190;20
PROD-0000018;2008-05-08;CABANG-039;039;9000;8570;10
PROD-0000019;2008-05-08;CABANG-039;039;6200;5900;110
PROD-0000020;2008-05-08;CABANG-039;039;5420;5100;100
PROD-0000021;2008-05-08;CABANG-039;039;12230;11620;170
PROD-0000022;2008-05-08;CABANG-039;039;73420;69390;440
PROD-0000023;2008-05-08;CABANG-039;039;14600;13870;190
PROD-0000024;2008-05-08;CABANG-039;039;15000;14250;130
PROD-0000025;2008-05-08;CABANG-039;039;10080;9570;170
PROD-0000026;2008-05-08;CABANG-039;039;910;870;20
PROD-0000027;2008-05-08;CABANG-039;039;12370;11800;240
PROD-0000028;2008-05-08;CABANG-039;039;55240;52550;360
PROD-0000029;2008-05-08;CABANG-039;039;6170;5860;150
PROD-0000030;2008-05-08;CABANG-039;039;4110;3870;50
PROD-0000031;2008-05-08;CABANG-039;039;18480;17650;360
PROD-0000032;2008-05-08;CABANG-039;039;5140;4880;80
PROD-0000033;2008-05-08;CABANG-039;039;15610;14680;70
PROD-0000034;2008-05-08;CABANG-039;039;20240;19270;20
PROD-0000035;2008-05-08;CABANG-039;039;6130;5840;20
PROD-0000036;2008-05-08;CABANG-039;039;31200;29640;190
PROD-0000037;2008-05-08;CABANG-039;039;5090;4830;100
PROD-0000038;2008-05-08;CABANG-039;039;6120;5820;120
PROD-0000039;2008-05-08;CABANG-039;039;5530;5230;110
PROD-0000040;2008-05-08;CABANG-039;039;15100;14360;60
PROD-0000041;2008-05-08;CABANG-039;039;13400;12700;220
PROD-0000001;2008-05-09;CABANG-039;039;11420;10860;100
PROD-0000002;2008-05-09;CABANG-039;039;4240;4020;80
PROD-0000003;2008-05-09;CABANG-039;039;6200;5890;30
PROD-0000004;2008-05-09;CABANG-039;039;8200;7800;50
PROD-0000005;2008-05-09;CABANG-039;039;7180;6850;40
PROD-0000006;2008-05-09;CABANG-039;039;8130;7800;140
PROD-0000007;2008-05-09;CABANG-039;039;4650;4420;50
PROD-0000008;2008-05-09;CABANG-039;039;1090;1030;20
PROD-0000009;2008-05-09;CABANG-039;039;4920;4670;60
PROD-0000010;2008-05-09;CABANG-039;039;1110;1060;10
PROD-0000011;2008-05-09;CABANG-039;039;1210;1140;0
PROD-0000012;2008-05-09;CABANG-039;039;3590;3440;0
PROD-0000013;2008-05-09;CABANG-039;039;12600;11970;90
PROD-0000014;2008-05-09;CABANG-039;039;11660;11080;50
PROD-0000015;2008-05-09;CABANG-039;039;19220;18140;210
PROD-0000016;2008-05-09;CABANG-039;039;98780;93940;1190
PROD-0000017;2008-05-09;CABANG-039;039;1230;1160;0
PROD-0000018;2008-05-09;CABANG-039;039;8910;8420;30
PROD-0000019;2008-05-09;CABANG-039;039;6120;5810;150
PROD-0000020;2008-05-09;CABANG-039;039;5470;5200;70
PROD-0000021;2008-05-09;CABANG-039;039;12130;11530;30
PROD-0000022;2008-05-09;CABANG-039;039;73870;70180;1810
PROD-0000023;2008-05-09;CABANG-039;039;14540;13770;290
PROD-0000024;2008-05-09;CABANG-039;039;15270;14510;120
PROD-0000025;2008-05-09;CABANG-039;039;10300;9750;130
PROD-0000026;2008-05-09;CABANG-039;039;910;860;20
PROD-0000027;2008-05-09;CABANG-039;039;12460;11730;150
PROD-0000028;2008-05-09;CABANG-039;039;56470;53650;510
PROD-0000029;2008-05-09;CABANG-039;039;6250;5940;60
PROD-0000030;2008-05-09;CABANG-039;039;4070;3860;60
PROD-0000031;2008-05-09;CABANG-039;039;18190;17280;30
PROD-0000032;2008-05-09;CABANG-039;039;5080;4830;0
PROD-0000033;2008-05-09;CABANG-039;039;15990;15190;220
PROD-0000034;2008-05-09;CABANG-039;039;20520;19650;400
PROD-0000035;2008-05-09;CABANG-039;039;6050;5780;30
PROD-0000036;2008-05-09;CABANG-039;039;30340;29000;360
PROD-0000037;2008-05-09;CABANG-039;039;5110;4880;50
PROD-0000038;2008-05-09;CABANG-039;039;6090;5790;80
PROD-0000039;2008-05-09;CABANG-039;039;5530;5250;70
PROD-0000040;2008-05-09;CABANG-039;039;14920;14190;160
PROD-0000041;2008-05-09;CABANG-039;039;13380;12700;190
PROD-0000001;2008-05-10;CABANG-039;039;11360;10720;30
PROD-0000002;2008-05-10;CABANG-039;039;4270;4070;20
PROD-0000003;2008-05-10;CABANG-039;039;6360;6010;60
PROD-0000004;2008-05-10;CABANG-039;039;8240;7900;0
PROD-0000005;2008-05-10;CABANG-039;039;7260;6900;20
PROD-0000006;2008-05-10;CABANG-039;039;8250;7880;50
PROD-0000007;2008-05-10;CABANG-039;039;4660;4400;100
PROD-0000008;2008-05-10;CABANG-039;039;1090;1050;10
PROD-0000009;2008-05-10;CABANG-039;039;4830;4590;100
PROD-0000010;2008-05-10;CABANG-039;039;1120;1060;30
PROD-0000011;2008-05-10;CABANG-039;039;1230;1180;10
PROD-0000012;2008-05-10;CABANG-039;039;3540;3390;90
PROD-0000013;2008-05-10;CABANG-039;039;12680;12160;170
PROD-0000014;2008-05-10;CABANG-039;039;11870;11310;110
PROD-0000015;2008-05-10;CABANG-039;039;19730;18930;120
PROD-0000016;2008-05-10;CABANG-039;039;100180;94740;800
PROD-0000017;2008-05-10;CABANG-039;039;1250;1180;20
PROD-0000018;2008-05-10;CABANG-039;039;9060;8650;210
PROD-0000019;2008-05-10;CABANG-039;039;6120;5820;100
PROD-0000020;2008-05-10;CABANG-039;039;5410;5110;50
PROD-0000021;2008-05-10;CABANG-039;039;12210;11480;100
PROD-0000022;2008-05-10;CABANG-039;039;72410;68780;250
PROD-0000023;2008-05-10;CABANG-039;039;14540;13820;0
PROD-0000024;2008-05-10;CABANG-039;039;15030;14370;20
PROD-0000025;2008-05-10;CABANG-039;039;10220;9680;240
PROD-0000026;2008-05-10;CABANG-039;039;900;850;10
PROD-0000027;2008-05-10;CABANG-039;039;12390;11880;190
PROD-0000028;2008-05-10;CABANG-039;039;55910;53320;1120
PROD-0000029;2008-05-10;CABANG-039;039;6220;5900;120
PROD-0000030;2008-05-10;CABANG-039;039;4090;3900;40
PROD-0000031;2008-05-10;CABANG-039;039;18190;17280;450
PROD-0000032;2008-05-10;CABANG-039;039;5120;4820;110
PROD-0000033;2008-05-10;CABANG-039;039;15640;14840;160
PROD-0000034;2008-05-10;CABANG-039;039;20080;19070;480
PROD-0000035;2008-05-10;CABANG-039;039;6200;5890;0
PROD-0000036;2008-05-10;CABANG-039;039;31190;29430;0
