kode_produk;tgl_berlaku;harga_berlaku;modal
PROD-0000011;2008-04-05;1200;1150
PROD-0000012;2008-04-05;3560;3370
PROD-0000013;2008-04-05;12500;11790
PROD-0000014;2008-04-05;11710;11010
PROD-0000015;2008-04-05;19440;18100
PROD-0000016;2008-04-05;98330;93600
PROD-0000017;2008-04-05;1230;1170
PROD-0000018;2008-04-05;9010;8560
PROD-0000019;2008-04-05;6110;5740
PROD-0000020;2008-04-05;5400;5080
PROD-0000021;2008-04-05;12220;11470
PROD-0000022;2008-04-05;72840;68000
PROD-0000023;2008-04-05;14360;13560
PROD-0000024;2008-04-05;15220;14260
PROD-0000025;2008-04-05;10230;9630
PROD-0000026;2008-04-05;900;860
PROD-0000027;2008-04-05;12250;11640
PROD-0000028;2008-04-05;56240;52900
PROD-0000029;2008-04-05;6240;5870
PROD-0000030;2008-04-05;4090;3860
PROD-0000031;2008-04-05;18330;17150
PROD-0000032;2008-04-05;5110;4860
PROD-0000033;2008-04-05;15770;14870
PROD-0000034;2008-04-05;20300;19250
PROD-0000035;2008-04-05;6080;5750
PROD-0000036;2008-04-05;30550;29110
PROD-0000037;2008-04-05;5110;4830
PROD-0000038;2008-04-05;6070;5770
PROD-0000039;2008-04-05;5520;5260
PROD-0000040;2008-04-05;15140;14370
PROD-0000041;2008-04-05;13400;12550
PROD-0000001;2008-04-06;11410;10730
PROD-0000002;2008-04-06;4240;4030
PROD-0000003;2008-04-06;6300;5960
PROD-0000004;2008-04-06;8180;7760
PROD-0000005;2008-04-06;7160;6780
PROD-0000006;2008-04-06;8190;7720
PROD-0000007;2008-04-06;4670;4360
PROD-0000008;2008-04-06;1080;1020
PROD-0000009;2008-04-06;4800;4510
PROD-0000010;2008-04-06;1110;1050
PROD-0000011;2008-04-06;1210;1160
PROD-0000012;2008-04-06;3550;3370
PROD-0000013;2008-04-06;12580;11870
PROD-0000014;2008-04-06;11710;11060
PROD-0000015;2008-04-06;19440;18480
PROD-0000016;2008-04-06;98920;93660
PROD-0000017;2008-04-06;1220;1170
PROD-0000018;2008-04-06;8960;8420
PROD-0000019;2008-04-06;6080;5720
PROD-0000020;2008-04-06;5350;5080
PROD-0000021;2008-04-06;12170;11520
PROD-0000022;2008-04-06;71980;69060
PROD-0000023;2008-04-06;14530;13670
PROD-0000024;2008-04-06;15010;14210
PROD-0000025;2008-04-06;10130;9580
PROD-0000026;2008-04-06;910;850
PROD-0000027;2008-04-06;12110;11620
PROD-0000028;2008-04-06;55230;52900
PROD-0000029;2008-04-06;6210;5900
PROD-0000030;2008-04-06;4070;3840
PROD-0000031;2008-04-06;18370;17440
PROD-0000032;2008-04-06;5030;4810
PROD-0000033;2008-04-06;15710;14890
PROD-0000034;2008-04-06;20220;19170
PROD-0000035;2008-04-06;6050;5800
PROD-0000036;2008-04-06;30800;29030
PROD-0000037;2008-04-06;5080;4870
PROD-0000038;2008-04-06;6130;5770
PROD-0000039;2008-04-06;5500;5240
PROD-0000040;2008-04-06;15170;14310
PROD-0000041;2008-04-06;13260;12540
PROD-0000001;2008-04-07;11210;10740
PROD-0000002;2008-04-07;4210;4020
PROD-0000003;2008-04-07;6270;6010
PROD-0000004;2008-04-07;8220;7740
PROD-0000005;2008-04-07;7120;6820
PROD-0000006;2008-04-07;8160;7760
PROD-0000007;2008-04-07;4630;4400
PROD-0000008;2008-04-07;1080;1030
PROD-0000009;2008-04-07;4820;4520
PROD-0000010;2008-04-07;1110;1060
PROD-0000011;2008-04-07;1220;1150
PROD-0000012;2008-04-07;3540;3390
PROD-0000013;2008-04-07;12580;11850
PROD-0000014;2008-04-07;11660;11060
PROD-0000015;2008-04-07;19210;18480
PROD-0000016;2008-04-07;99320;93670
PROD-0000017;2008-04-07;1230;1170
PROD-0000018;2008-04-07;8970;8490
PROD-0000019;2008-04-07;6130;5810
PROD-0000020;2008-04-07;5370;5120
PROD-0000021;2008-04-07;12220;11390
PROD-0000022;2008-04-07;71830;68520
PROD-0000023;2008-04-07;14440;13690
PROD-0000024;2008-04-07;15190;14310
PROD-0000025;2008-04-07;10230;9680
PROD-0000026;2008-04-07;900;850
PROD-0000027;2008-04-07;12250;11510
PROD-0000028;2008-04-07;55790;52900
PROD-0000029;2008-04-07;6190;5850
PROD-0000030;2008-04-07;4100;3840
PROD-0000031;2008-04-07;18190;17190
PROD-0000032;2008-04-07;5030;4840
PROD-0000033;2008-04-07;15680;14790
PROD-0000034;2008-04-07;20100;19170
PROD-0000035;2008-04-07;6010;5810
PROD-0000036;2008-04-07;30800;28900
PROD-0000037;2008-04-07;5090;4820
PROD-0000038;2008-04-07;6090;5720
PROD-0000039;2008-04-07;5530;5240
PROD-0000040;2008-04-07;15110;14180
PROD-0000041;2008-04-07;13340;12680
PROD-0000001;2008-04-08;11300;10730
PROD-0000002;2008-04-08;4210;4050
PROD-0000003;2008-04-08;6330;5990
PROD-0000004;2008-04-08;8130;7670
PROD-0000005;2008-04-08;7200;6760
PROD-0000006;2008-04-08;8160;7760
PROD-0000007;2008-04-08;4640;4400
PROD-0000008;2008-04-08;1090;1030
PROD-0000009;2008-04-08;4840;4550
PROD-0000010;2008-04-08;1100;1050
PROD-0000011;2008-04-08;1200;1140
PROD-0000012;2008-04-08;3540;3340
PROD-0000013;2008-04-08;12450;11930
PROD-0000014;2008-04-08;11760;11130
PROD-0000015;2008-04-08;19410;18290
PROD-0000016;2008-04-08;98920;93030
PROD-0000017;2008-04-08;1220;1160
PROD-0000018;2008-04-08;9010;8550
PROD-0000019;2008-04-08;6080;5780
PROD-0000020;2008-04-08;5340;5030
PROD-0000021;2008-04-08;12000;11390
PROD-0000022;2008-04-08;72270;68640
PROD-0000023;2008-04-08;14530;13560
PROD-0000024;2008-04-08;14950;14310
PROD-0000025;2008-04-08;10090;9630
PROD-0000026;2008-04-08;900;870
PROD-0000027;2008-04-08;12130;11510
PROD-0000028;2008-04-08;55350;53210
PROD-0000029;2008-04-08;6130;5870
PROD-0000030;2008-04-08;4080;3850
PROD-0000031;2008-04-08;18080;17330
PROD-0000032;2008-04-08;5030;4800
PROD-0000033;2008-04-08;15650;14900
PROD-0000034;2008-04-08;20220;19280
PROD-0000035;2008-04-08;6030;5810
PROD-0000036;2008-04-08;30860;29090
PROD-0000037;2008-04-08;5110;4820
PROD-0000038;2008-04-08;6120;5780
PROD-0000039;2008-04-08;5530;5290
PROD-0000040;2008-04-08;15080;14300
PROD-0000041;2008-04-08;13450;12750
PROD-0000001;2008-04-09;11340;10730
PROD-0000002;2008-04-09;4210;4030
PROD-0000003;2008-04-09;6330;5920
PROD-0000004;2008-04-09;8220;7680
PROD-0000005;2008-04-09;7200;6790
PROD-0000006;2008-04-09;8160;7760
PROD-0000007;2008-04-09;4680;4400
PROD-0000008;2008-04-09;1080;1030
PROD-0000009;2008-04-09;4760;4510
PROD-0000010;2008-04-09;1120;1050
PROD-0000011;2008-04-09;1200;1150
PROD-0000012;2008-04-09;3530;3400
PROD-0000013;2008-04-09;12480;11800
PROD-0000014;2008-04-09;11760;11010
PROD-0000015;2008-04-09;19140;18110
PROD-0000016;2008-04-09;99320;93600
PROD-0000017;2008-04-09;1240;1170
PROD-0000018;2008-04-09;9030;8420
PROD-0000019;2008-04-09;6100;5780
PROD-0000020;2008-04-09;5340;5080
PROD-0000021;2008-04-09;12080;11490
PROD-0000022;2008-04-09;72410;69080
PROD-0000023;2008-04-09;14300;13650
PROD-0000024;2008-04-09;15100;14310
PROD-0000025;2008-04-09;10090;9650
PROD-0000026;2008-04-09;900;870
PROD-0000027;2008-04-09;12250;11690
PROD-0000028;2008-04-09;55570;52900
PROD-0000029;2008-04-09;6190;5830
PROD-0000030;2008-04-09;4100;3840
PROD-0000031;2008-04-09;18370;17310
PROD-0000032;2008-04-09;5080;4790
PROD-0000033;2008-04-09;15830;14890
PROD-0000034;2008-04-09;20260;19170
PROD-0000035;2008-04-09;6010;5800
PROD-0000036;2008-04-09;30370;29090
PROD-0000037;2008-04-09;5030;4780
PROD-0000038;2008-04-09;6070;5770
PROD-0000039;2008-04-09;5500;5280
PROD-0000040;2008-04-09;15140;14420
PROD-0000041;2008-04-09;13320;12680
PROD-0000001;2008-04-10;11340;10690
PROD-0000002;2008-04-10;4210;4030
PROD-0000003;2008-04-10;6250;5900
PROD-0000004;2008-04-10;8210;7740
PROD-0000005;2008-04-10;7100;6770
PROD-0000006;2008-04-10;8190;7840
PROD-0000007;2008-04-10;4610;4420
PROD-0000008;2008-04-10;1080;1040
PROD-0000009;2008-04-10;4750;4550
PROD-0000010;2008-04-10;1110;1050
PROD-0000011;2008-04-10;1220;1150
PROD-0000012;2008-04-10;3570;3340
PROD-0000013;2008-04-10;12430;11850
PROD-0000014;2008-04-10;11620;11060
PROD-0000015;2008-04-10;19100;18310
PROD-0000016;2008-04-10;98330;93600
PROD-0000017;2008-04-10;1240;1170
PROD-0000018;2008-04-10;8970;8510
PROD-0000019;2008-04-10;6030;5780
PROD-0000020;2008-04-10;5370;5090
PROD-0000021;2008-04-10;12030;11480
PROD-0000022;2008-04-10;72120;68390
PROD-0000023;2008-04-10;14390;13760
PROD-0000024;2008-04-10;15010;14310
PROD-0000025;2008-04-10;10070;9630
PROD-0000026;2008-04-10;900;860
PROD-0000027;2008-04-10;12230;11610
PROD-0000028;2008-04-10;55570;53230
PROD-0000029;2008-04-10;6160;5870
PROD-0000030;2008-04-10;4060;3860
PROD-0000031;2008-04-10;18400;17170
PROD-0000032;2008-04-10;5090;4780
PROD-0000033;2008-04-10;15740;14860
PROD-0000034;2008-04-10;20300;19170
PROD-0000035;2008-04-10;6120;5750
PROD-0000036;2008-04-10;30680;29040
PROD-0000037;2008-04-10;5070;4780
PROD-0000038;2008-04-10;6030;5710
PROD-0000039;2008-04-10;5470;5200
PROD-0000040;2008-04-10;15170;14250
PROD-0000041;2008-04-10;13370;12550
PROD-0000001;2008-04-11;11370;10730
PROD-0000002;2008-04-11;4210;4070
PROD-0000003;2008-04-11;6280;5980
PROD-0000004;2008-04-11;8110;7740
PROD-0000005;2008-04-11;7100;6790
PROD-0000006;2008-04-11;8250;7710
PROD-0000007;2008-04-11;4630;4400
PROD-0000008;2008-04-11;1090;1030
PROD-0000009;2008-04-11;4770;4560
PROD-0000010;2008-04-11;1100;1060
PROD-0000011;2008-04-11;1210;1150
PROD-0000012;2008-04-11;3530;3360
PROD-0000013;2008-04-11;12450;11860
PROD-0000014;2008-04-11;11620;11160
PROD-0000015;2008-04-11;19100;18180
PROD-0000016;2008-04-11;99510;93600
PROD-0000017;2008-04-11;1220;1170
PROD-0000018;2008-04-11;8920;8570
PROD-0000019;2008-04-11;6110;5780
PROD-0000020;2008-04-11;5390;5080
PROD-0000021;2008-04-11;12170;11500
PROD-0000022;2008-04-11;72410;68520
PROD-0000023;2008-04-11;14360;13700
PROD-0000024;2008-04-11;15130;14400
PROD-0000025;2008-04-11;10230;9660
PROD-0000026;2008-04-11;920;860
PROD-0000027;2008-04-11;12160;11450
PROD-0000028;2008-04-11;56010;52900
PROD-0000029;2008-04-11;6200;5850
PROD-0000030;2008-04-11;4030;3840
PROD-0000031;2008-04-11;18110;17420
PROD-0000032;2008-04-11;5060;4830
PROD-0000033;2008-04-11;15580;14980
PROD-0000034;2008-04-11;20060;19260
PROD-0000035;2008-04-11;6080;5770
PROD-0000036;2008-04-11;30740;29090
PROD-0000037;2008-04-11;5090;4860
PROD-0000038;2008-04-11;6110;5820
PROD-0000039;2008-04-11;5530;5240
PROD-0000040;2008-04-11;15080;14300
PROD-0000041;2008-04-11;13320;12680
PROD-0000001;2008-04-12;11280;10830
PROD-0000002;2008-04-12;4230;4020
PROD-0000003;2008-04-12;6310;5960
PROD-0000004;2008-04-12;8190;7760
PROD-0000005;2008-04-12;7190;6810
PROD-0000006;2008-04-12;8170;7690
PROD-0000007;2008-04-12;4630;4420
PROD-0000008;2008-04-12;1090;1020
PROD-0000009;2008-04-12;4760;4550
PROD-0000010;2008-04-12;1100;1050
PROD-0000011;2008-04-12;1210;1160
PROD-0000012;2008-04-12;3580;3400
PROD-0000013;2008-04-12;12430;11810
PROD-0000014;2008-04-12;11550;11060
PROD-0000015;2008-04-12;19330;18290
PROD-0000016;2008-04-12;98720;94140
PROD-0000017;2008-04-12;1230;1180
PROD-0000018;2008-04-12;8970;8490
PROD-0000019;2008-04-12;6120;5790
PROD-0000020;2008-04-12;5370;5080
PROD-0000021;2008-04-12;12080;11590
PROD-0000022;2008-04-12;71690;68050
PROD-0000023;2008-04-12;14530;13700
PROD-0000024;2008-04-12;15040;14170
PROD-0000025;2008-04-12;10170;9620
PROD-0000026;2008-04-12;910;870
PROD-0000027;2008-04-12;12230;11570
PROD-0000028;2008-04-12;55230;52590
PROD-0000029;2008-04-12;6140;5870
PROD-0000030;2008-04-12;4040;3860
PROD-0000031;2008-04-12;18300;17250
PROD-0000032;2008-04-12;5110;4840
PROD-0000033;2008-04-12;15550;14890
PROD-0000034;2008-04-12;20340;19370
PROD-0000035;2008-04-12;6080;5750
PROD-0000036;2008-04-12;30680;28840
PROD-0000037;2008-04-12;5090;4770
PROD-0000038;2008-04-12;6080;5780
PROD-0000039;2008-04-12;5560;5190
PROD-0000040;2008-04-12;15200;14300
PROD-0000041;2008-04-12;13370;12680
PROD-0000001;2008-04-13;11410;10850
PROD-0000002;2008-04-13;4280;4030
PROD-0000003;2008-04-13;6220;5960
PROD-0000004;2008-04-13;8130;7770
PROD-0000005;2008-04-13;7090;6790
PROD-0000006;2008-04-13;8170;7740
PROD-0000007;2008-04-13;4680;4410
PROD-0000008;2008-04-13;1090;1030
PROD-0000009;2008-04-13;4820;4540
PROD-0000010;2008-04-13;1100;1060
PROD-0000011;2008-04-13;1210;1150
PROD-0000012;2008-04-13;3560;3330
PROD-0000013;2008-04-13;12500;11850
PROD-0000014;2008-04-13;11550;11140
PROD-0000015;2008-04-13;19100;18250
PROD-0000016;2008-04-13;98920;93170
PROD-0000017;2008-04-13;1240;1170
PROD-0000018;2008-04-13;8900;8410
PROD-0000019;2008-04-13;6050;5780
PROD-0000020;2008-04-13;5320;5080
PROD-0000021;2008-04-13;12030;11590
PROD-0000022;2008-04-13;72120;68520
PROD-0000023;2008-04-13;14330;13550
PROD-0000024;2008-04-13;15040;14300
PROD-0000025;2008-04-13;10150;9630
PROD-0000026;2008-04-13;920;860
PROD-0000027;2008-04-13;12280;11620
PROD-0000028;2008-04-13;56010;52900
PROD-0000029;2008-04-13;6170;5880
PROD-0000030;2008-04-13;4100;3840
PROD-0000031;2008-04-13;18330;17450
PROD-0000032;2008-04-13;5040;4790
PROD-0000033;2008-04-13;15770;14780
PROD-0000034;2008-04-13;20300;19170
PROD-0000035;2008-04-13;6090;5770
PROD-0000036;2008-04-13;30430;29090
PROD-0000037;2008-04-13;5060;4860
PROD-0000038;2008-04-13;6130;5740
PROD-0000039;2008-04-13;5490;5280
PROD-0000040;2008-04-13;15080;14300
PROD-0000041;2008-04-13;13370;12680
PROD-0000001;2008-04-14;11320;10790
PROD-0000002;2008-04-14;4280;4000
PROD-0000003;2008-04-14;6220;5960
PROD-0000004;2008-04-14;8160;7740
PROD-0000005;2008-04-14;7180;6810
PROD-0000006;2008-04-14;8200;7760
PROD-0000007;2008-04-14;4600;4400
PROD-0000008;2008-04-14;1090;1020
PROD-0000009;2008-04-14;4810;4520
PROD-0000010;2008-04-14;1110;1050
PROD-0000011;2008-04-14;1210;1140
PROD-0000012;2008-04-14;3530;3400
PROD-0000013;2008-04-14;12550;11850
PROD-0000014;2008-04-14;11620;10940
PROD-0000015;2008-04-14;19330;18340
PROD-0000016;2008-04-14;98920;94370
PROD-0000017;2008-04-14;1220;1160
PROD-0000018;2008-04-14;9030;8420
PROD-0000019;2008-04-14;6030;5780
PROD-0000020;2008-04-14;5370;5080
PROD-0000021;2008-04-14;12150;11440
PROD-0000022;2008-04-14;72700;69050
PROD-0000023;2008-04-14;14300;13610
PROD-0000024;2008-04-14;15220;14310
PROD-0000025;2008-04-14;10130;9630
PROD-0000026;2008-04-14;900;860
PROD-0000027;2008-04-14;12210;11570
PROD-0000028;2008-04-14;55900;53020
PROD-0000029;2008-04-14;6220;5870
PROD-0000030;2008-04-14;4060;3880
PROD-0000031;2008-04-14;18110;17420
PROD-0000032;2008-04-14;5090;4810
PROD-0000033;2008-04-14;15610;14790
PROD-0000034;2008-04-14;20060;19040
PROD-0000035;2008-04-14;6110;5750
PROD-0000036;2008-04-14;30680;29090
PROD-0000037;2008-04-14;5030;4810
PROD-0000038;2008-04-14;6110;5820
PROD-0000039;2008-04-14;5570;5240
PROD-0000040;2008-04-14;15020;14380
PROD-0000041;2008-04-14;13370;12680
PROD-0000001;2008-04-15;11320;10730
PROD-0000002;2008-04-15;4230;4030
PROD-0000003;2008-04-15;6320;6010
PROD-0000004;2008-04-15;8160;7740
PROD-0000005;2008-04-15;7120;6830
PROD-0000006;2008-04-15;8190;7820
PROD-0000007;2008-04-15;4670;4400
PROD-0000008;2008-04-15;1080;1040
PROD-0000009;2008-04-15;4800;4570
PROD-0000010;2008-04-15;1110;1060
PROD-0000011;2008-04-15;1220;1150
PROD-0000012;2008-04-15;3550;3370
PROD-0000013;2008-04-15;12430;11820
PROD-0000014;2008-04-15;11570;11060
PROD-0000015;2008-04-15;19330;18200
PROD-0000016;2008-04-15;98330;93480
PROD-0000017;2008-04-15;1220;1170
PROD-0000018;2008-04-15;8880;8500
PROD-0000019;2008-04-15;6070;5780
PROD-0000020;2008-04-15;5390;5080
PROD-0000021;2008-04-15;12050;11500
PROD-0000022;2008-04-15;72840;68520
PROD-0000023;2008-04-15;14390;13740
PROD-0000024;2008-04-15;15100;14240
PROD-0000025;2008-04-15;10090;9620
PROD-0000026;2008-04-15;910;860
PROD-0000027;2008-04-15;12130;11600
PROD-0000028;2008-04-15;56120;52370
PROD-0000029;2008-04-15;6240;5870
PROD-0000030;2008-04-15;4080;3860
PROD-0000031;2008-04-15;18260;17160
PROD-0000032;2008-04-15;5080;4770
PROD-0000033;2008-04-15;15770;14920
PROD-0000034;2008-04-15;20220;19050
PROD-0000035;2008-04-15;6120;5750
PROD-0000036;2008-04-15;30740;29150
PROD-0000037;2008-04-15;5100;4840
PROD-0000038;2008-04-15;6060;5780
PROD-0000039;2008-04-15;5510;5260
PROD-0000040;2008-04-15;15200;14370
PROD-0000041;2008-04-15;13240;12670
PROD-0000001;2008-04-16;11390;10640
PROD-0000002;2008-04-16;4210;4030
PROD-0000003;2008-04-16;6220;5960
PROD-0000004;2008-04-16;8130;7740
PROD-0000005;2008-04-16;7200;6720
PROD-0000006;2008-04-16;8170;7720
PROD-0000007;2008-04-16;4680;4400
PROD-0000008;2008-04-16;1100;1030
PROD-0000009;2008-04-16;4830;4600
PROD-0000010;2008-04-16;1120;1060
PROD-0000011;2008-04-16;1200;1150
PROD-0000012;2008-04-16;3570;3400
PROD-0000013;2008-04-16;12450;11850
PROD-0000014;2008-04-16;11730;10970
PROD-0000015;2008-04-16;19210;18440
PROD-0000016;2008-04-16;97940;93650
PROD-0000017;2008-04-16;1220;1170
PROD-0000018;2008-04-16;8870;8560
PROD-0000019;2008-04-16;6030;5820
PROD-0000020;2008-04-16;5330;5090
PROD-0000021;2008-04-16;12030;11500
PROD-0000022;2008-04-16;72270;68680
PROD-0000023;2008-04-16;14410;13670
PROD-0000024;2008-04-16;15040;14330
PROD-0000025;2008-04-16;10170;9700
PROD-0000026;2008-04-16;900;860
PROD-0000027;2008-04-16;12280;11550
PROD-0000028;2008-04-16;56120;52820
PROD-0000029;2008-04-16;6190;5890
PROD-0000030;2008-04-16;4050;3860
PROD-0000031;2008-04-16;18190;17480
PROD-0000032;2008-04-16;5120;4810
PROD-0000033;2008-04-16;15740;15010
PROD-0000034;2008-04-16;20180;19160
PROD-0000035;2008-04-16;6030;5770
PROD-0000036;2008-04-16;30680;29280
PROD-0000037;2008-04-16;5030;4770
PROD-0000038;2008-04-16;6020;5770
PROD-0000039;2008-04-16;5510;5200
PROD-0000040;2008-04-16;14960;14260
PROD-0000041;2008-04-16;13320;12660
PROD-0000001;2008-04-17;11250;10810
PROD-0000002;2008-04-17;4270;4070
PROD-0000003;2008-04-17;6260;6010
PROD-0000004;2008-04-17;8080;7690
PROD-0000005;2008-04-17;7200;6790
PROD-0000006;2008-04-17;8160;7760
PROD-0000007;2008-04-17;4670;4400
PROD-0000008;2008-04-17;1080;1020
PROD-0000009;2008-04-17;4820;4550
PROD-0000010;2008-04-17;1110;1060
PROD-0000011;2008-04-17;1200;1140
PROD-0000012;2008-04-17;3520;3370
PROD-0000013;2008-04-17;12450;11810
PROD-0000014;2008-04-17;11690;11060
PROD-0000015;2008-04-17;19250;18290
PROD-0000016;2008-04-17;98530;93600
PROD-0000017;2008-04-17;1240;1170
PROD-0000018;2008-04-17;8990;8490
PROD-0000019;2008-04-17;6050;5840
PROD-0000020;2008-04-17;5320;5080
PROD-0000021;2008-04-17;12200;11560
PROD-0000022;2008-04-17;72120;68520
PROD-0000023;2008-04-17;14270;13670
PROD-0000024;2008-04-17;15010;14310
PROD-0000025;2008-04-17;10150;9530
PROD-0000026;2008-04-17;910;850
PROD-0000027;2008-04-17;12210;11570
PROD-0000028;2008-04-17;56010;53160
PROD-0000029;2008-04-17;6190;5840
PROD-0000030;2008-04-17;4090;3850
PROD-0000031;2008-04-17;18190;17310
PROD-0000032;2008-04-17;5040;4810
PROD-0000033;2008-04-17;15740;14890
PROD-0000034;2008-04-17;20140;19170
PROD-0000035;2008-04-17;6020;5750
PROD-0000036;2008-04-17;30860;29220
PROD-0000037;2008-04-17;5030;4870
PROD-0000038;2008-04-17;6060;5780
PROD-0000039;2008-04-17;5500;5200
PROD-0000040;2008-04-17;14990;14280
PROD-0000041;2008-04-17;13450;12680
PROD-0000001;2008-04-18;11340;10670
PROD-0000002;2008-04-18;4260;4030
PROD-0000003;2008-04-18;6300;5960
PROD-0000004;2008-04-18;8140;7740
PROD-0000005;2008-04-18;7100;6760
PROD-0000006;2008-04-18;8110;7710
PROD-0000007;2008-04-18;4600;4400
PROD-0000008;2008-04-18;1090;1030
PROD-0000009;2008-04-18;4830;4550
PROD-0000010;2008-04-18;1110;1050
PROD-0000011;2008-04-18;1220;1150
PROD-0000012;2008-04-18;3540;3400
PROD-0000013;2008-04-18;12380;11760
PROD-0000014;2008-04-18;11660;11060
PROD-0000015;2008-04-18;19140;18370
PROD-0000016;2008-04-18;99320;93600
PROD-0000017;2008-04-18;1220;1170
PROD-0000018;2008-04-18;8880;8500
PROD-0000019;2008-04-18;6120;5820
PROD-0000020;2008-04-18;5350;5080
PROD-0000021;2008-04-18;12000;11450
PROD-0000022;2008-04-18;72700;68380
PROD-0000023;2008-04-18;14360;13670
PROD-0000024;2008-04-18;15160;14340
PROD-0000025;2008-04-18;10170;9630
PROD-0000026;2008-04-18;910;860
PROD-0000027;2008-04-18;12080;11490
PROD-0000028;2008-04-18;56010;52940
PROD-0000029;2008-04-18;6190;5870
PROD-0000030;2008-04-18;4050;3830
PROD-0000031;2008-04-18;18370;17310
PROD-0000032;2008-04-18;5080;4830
PROD-0000033;2008-04-18;15800;14950
PROD-0000034;2008-04-18;20260;19170
PROD-0000035;2008-04-18;6080;5810
PROD-0000036;2008-04-18;30490;29090
PROD-0000037;2008-04-18;5070;4790
PROD-0000038;2008-04-18;6090;5770
PROD-0000039;2008-04-18;5540;5290
PROD-0000040;2008-04-18;15080;14280
PROD-0000041;2008-04-18;13420;12660
PROD-0000001;2008-04-19;11210;10660
PROD-0000002;2008-04-19;4220;4030
PROD-0000003;2008-04-19;6330;6020
PROD-0000004;2008-04-19;8140;7740
PROD-0000005;2008-04-19;7160;6790
PROD-0000006;2008-04-19;8110;7780
PROD-0000007;2008-04-19;4600;4400
PROD-0000008;2008-04-19;1100;1020
PROD-0000009;2008-04-19;4770;4590
PROD-0000010;2008-04-19;1100;1050
PROD-0000011;2008-04-19;1210;1150
PROD-0000012;2008-04-19;3570;3350
PROD-0000013;2008-04-19;12600;11930
PROD-0000014;2008-04-19;11640;11060
PROD-0000015;2008-04-19;19210;18290
PROD-0000016;2008-04-19;97940;93600
PROD-0000017;2008-04-19;1220;1170
PROD-0000018;2008-04-19;9030;8430
PROD-0000019;2008-04-19;6110;5720
PROD-0000020;2008-04-19;5310;5050
PROD-0000021;2008-04-19;12000;11500
PROD-0000022;2008-04-19;72410;68730
PROD-0000023;2008-04-19;14390;13670
PROD-0000024;2008-04-19;15040;14170
PROD-0000025;2008-04-19;10150;9630
PROD-0000026;2008-04-19;910;860
PROD-0000027;2008-04-19;12280;11570
PROD-0000028;2008-04-19;56010;53440
PROD-0000029;2008-04-19;6140;5900
PROD-0000030;2008-04-19;4060;3860
PROD-0000031;2008-04-19;18300;17210
PROD-0000032;2008-04-19;5040;4840
PROD-0000033;2008-04-19;15830;14890
PROD-0000034;2008-04-19;20300;19330
PROD-0000035;2008-04-19;6090;5810
PROD-0000036;2008-04-19;30430;29310
PROD-0000037;2008-04-19;5060;4870
PROD-0000038;2008-04-19;6110;5770
PROD-0000039;2008-04-19;5540;5250
PROD-0000040;2008-04-19;14960;14300
PROD-0000041;2008-04-19;13240;12600
PROD-0000001;2008-04-20;11280;10790
PROD-0000002;2008-04-20;4260;4010
PROD-0000003;2008-04-20;6300;5950
PROD-0000004;2008-04-20;8140;7680
PROD-0000005;2008-04-20;7190;6820
PROD-0000006;2008-04-20;8140;7760
PROD-0000007;2008-04-20;4630;4400
PROD-0000008;2008-04-20;1080;1040
PROD-0000009;2008-04-20;4780;4530
PROD-0000010;2008-04-20;1110;1050
PROD-0000011;2008-04-20;1220;1150
PROD-0000012;2008-04-20;3520;3350
PROD-0000013;2008-04-20;12550;11850
PROD-0000014;2008-04-20;11760;11060
PROD-0000015;2008-04-20;19140;18100
PROD-0000016;2008-04-20;97740;92990
PROD-0000017;2008-04-20;1220;1160
PROD-0000018;2008-04-20;8970;8530
PROD-0000019;2008-04-20;6140;5770
PROD-0000020;2008-04-20;5320;5090
PROD-0000021;2008-04-20;12030;11500
PROD-0000022;2008-04-20;72410;68940
PROD-0000023;2008-04-20;14300;13680
PROD-0000024;2008-04-20;14980;14310
PROD-0000025;2008-04-20;10150;9630
PROD-0000026;2008-04-20;900;860
PROD-0000027;2008-04-20;12180;11520
PROD-0000028;2008-04-20;55460;53270
PROD-0000029;2008-04-20;6140;5820
PROD-0000030;2008-04-20;4090;3830
PROD-0000031;2008-04-20;18110;17480
PROD-0000032;2008-04-20;5120;4860
PROD-0000033;2008-04-20;15800;14890
PROD-0000034;2008-04-20;20180;19170
PROD-0000035;2008-04-20;6120;5730
PROD-0000036;2008-04-20;30860;29280
PROD-0000037;2008-04-20;5100;4790
PROD-0000038;2008-04-20;6110;5740
PROD-0000039;2008-04-20;5490;5270
PROD-0000040;2008-04-20;15140;14260
PROD-0000041;2008-04-20;13290;12540
PROD-0000001;2008-04-21;11390;10740
PROD-0000002;2008-04-21;4210;4030
PROD-0000003;2008-04-21;6330;5960
PROD-0000004;2008-04-21;8110;7740
PROD-0000005;2008-04-21;7120;6790
PROD-0000006;2008-04-21;8170;7810
PROD-0000007;2008-04-21;4670;4400
PROD-0000008;2008-04-21;1080;1030
PROD-0000009;2008-04-21;4810;4550
PROD-0000010;2008-04-21;1120;1050
PROD-0000011;2008-04-21;1220;1140
PROD-0000012;2008-04-21;3540;3370
PROD-0000013;2008-04-21;12430;11810
PROD-0000014;2008-04-21;11620;11140
PROD-0000015;2008-04-21;19440;18330
PROD-0000016;2008-04-21;98130;94130
PROD-0000017;2008-04-21;1220;1170
PROD-0000018;2008-04-21;8960;8410
PROD-0000019;2008-04-21;6120;5730
PROD-0000020;2008-04-21;5390;5080
